Solution,Power,Latency,Cost
0,135.32403441204733,738.1879410476811,43.19416861448002
1,136.26892400357352,762.3620314677602,41.79439417262718
2,137.46356026245363,749.4583447112298,41.76570660300044
3,133.41574394701516,783.3307108840786,42.51162504397834
4,134.24956355594895,772.9336704338193,41.98659958037029
5,138.33045310475146,755.7218441922638,41.61310262053884
6,135.47530167717656,775.932546970116,40.42281448773889
7,133.91899167929074,774.8047654979915,42.77757792323803
8,140.9447274795167,755.4917346142274,41.34872074322473
9,133.8156489181771,774.6368567621773,43.22809280918621
10,139.20145085184177,729.5850157740158,46.831496452726086
11,152.50704944369758,724.0237068670223,46.906263741476735
12,134.8095278962455,760.5011193511648,43.384104722667864
13,135.96117155375538,765.0064689836767,41.93291803727354
14,136.19600751208688,752.2110147584865,42.95517608509686
15,134.366741573706,769.3768358899522,44.27597341755053
