Solution,Power,Latency,Cost
0,208.23198306070066,1156.0660690512384,61.92890920473078
1,208.23198306070066,1156.0660690512384,61.92890920473078
2,205.51303542542692,1113.2749510452259,67.78263946493509
3,207.02008092763788,1152.2484310752288,64.53051321679789
4,207.7107606832134,1174.6483382961262,61.40764490933223
5,214.88663507136923,1152.0322536621502,62.86461477378416
6,212.50003269656244,1128.1476577147532,65.31963700509202
7,216.97952113574138,1105.8969913467556,70.35453266570386
8,213.70982276024836,1131.8334603567423,65.26493788195752
9,222.12749895167312,1119.3157840511647,67.23454630515165
10,206.24462036842368,1151.1493477077415,64.85818763916579
11,203.60557148427537,1173.4485237466752,66.53938764047969
12,208.63754193735068,1122.2872117100244,66.53554913785503
13,211.2303832369089,1120.310144259335,67.02360712364097
14,233.71027711933607,1091.3966195480393,69.63521275029177
15,205.22494042637473,1127.6268048084714,65.5596664483241
16,211.33082895619594,1155.7224391786551,63.97531709561848
17,210.58076333520154,1150.3620391238996,64.53994748174374
18,208.7765517061607,1151.6549236174021,64.43065161747663
