Solution,Power,Latency,Cost
0,350.30939748290734,1888.3279183913398,103.32179383754973
1,343.19419150095314,1894.8212302881495,105.70040065788
2,353.170654923088,1863.1360377772862,105.47298803176731
3,343.87718523021255,1917.1908169905178,101.53996584709304
4,359.1805630736444,1854.7327768368518,107.91795198634037
5,350.52135745893685,1885.7646994104427,107.36597089510349
6,352.8635099892635,1873.333229527436,108.83833438504075
7,346.2687013084634,1914.3522676446266,103.66214606167287
8,339.7098540888017,1894.936602758165,104.36916882427671
9,351.44866400477974,1884.3459234211282,105.35810352291878
10,361.3843628679381,1833.2778448837503,109.99862937141275
11,352.4813150957337,1883.3021584336993,107.03902842402465
12,344.58309231998754,1886.5246924656303,106.81451644848725
