Epoch,FrontSize,ArchiveSize,Time
1,63,13,6.324901819229126
2,63,13,5.945419549942017
3,65,15,6.335181474685669
4,67,17,5.823848009109497
5,66,16,6.44850754737854
6,64,14,5.265523910522461
7,66,16,5.236809015274048
8,66,16,5.212100267410278
9,65,15,5.412290811538696
10,66,16,5.51223349571228
11,67,17,5.404296875
12,69,19,5.763880014419556
13,69,19,5.268168926239014
14,73,23,5.603811025619507
15,71,21,5.295128583908081
16,72,22,5.292036771774292
17,74,24,5.683932781219482
18,75,25,5.477125644683838
19,78,28,5.384885549545288
20,78,28,5.62310004234314
21,83,33,5.297371864318848
22,85,35,5.298675298690796
23,79,29,5.951915740966797
24,79,29,5.481535196304321
25,80,30,5.523062705993652
26,81,31,5.281772136688232
27,79,29,5.3600523471832275
28,81,31,6.589070558547974
29,82,32,6.484571218490601
30,79,29,5.688197374343872
31,78,28,5.312839031219482
32,78,28,5.248541593551636
33,78,28,5.3184638023376465
34,77,27,6.098531246185303
35,78,28,5.3387534618377686
36,79,29,5.226079940795898
37,79,29,5.337394714355469
38,79,29,5.27552056312561
39,76,26,5.253976345062256
40,78,28,5.557961940765381
41,78,28,5.3292236328125
42,81,31,5.281784534454346
43,79,29,5.254628896713257
44,76,26,6.111155986785889
45,76,26,5.364228248596191
46,77,27,5.550938606262207
47,79,29,5.27096700668335
48,79,29,5.356228351593018
49,80,30,5.272603511810303
50,80,30,5.388501882553101
51,80,30,5.292774677276611
52,80,30,5.359114646911621
53,77,27,5.371607065200806
54,79,29,5.666826248168945
55,80,30,5.352928161621094
56,81,31,5.461514472961426
57,80,30,5.62934422492981
58,83,33,5.38063907623291
59,84,34,5.24780011177063
60,87,37,5.264652252197266
61,82,32,5.242543458938599
62,87,37,5.273794412612915
63,89,39,5.242563962936401
64,89,39,5.257433652877808
65,92,42,5.376075267791748
66,93,43,5.331868648529053
67,93,43,5.346494436264038
68,93,43,5.4017956256866455
69,97,47,5.408732652664185
70,97,47,5.408929347991943
71,97,47,5.312837839126587
72,98,48,5.7441606521606445
73,99,49,5.3911237716674805
74,99,49,5.393195390701294
75,99,49,5.406794548034668
76,99,49,5.446424722671509
77,100,50,5.336867094039917
78,100,50,5.615688323974609
79,100,50,5.619533538818359
80,100,50,5.366929531097412
81,100,50,5.465453386306763
82,100,50,5.405945777893066
83,75,25,5.312275648117065
84,75,25,5.214433431625366
85,76,26,6.3044140338897705
86,78,28,5.537729740142822
87,78,28,5.301530599594116
88,78,28,5.339093446731567
89,78,28,5.384952783584595
90,79,29,5.360109090805054
91,80,30,5.22217583656311
92,81,31,5.240052700042725
93,81,31,5.3594770431518555
94,82,32,5.28275203704834
95,84,34,5.310322284698486
96,84,34,5.396152496337891
97,85,35,6.343285322189331
98,85,35,5.452762842178345
99,85,35,5.330121278762817
100,86,36,5.979129314422607
100,86,36,557.6953620910645
