Solution,Power,Latency,Cost
0,650.3355786830759,3467.457407689918,198.1969473251718
1,789.1317159025971,4703.940698385016,164.43864255337127
2,758.0882469722034,3911.332109175998,189.29970312782447
3,753.8299700557106,3765.3989734522456,193.10395164335262
4,782.5080926627289,4573.414031154912,171.97211863650614
5,804.2809041006274,4518.342978891064,171.27397511349997
6,660.6742837930534,3370.4266278727737,206.21294791977934
7,773.9996604188168,4309.326650436841,182.3063987143604
8,753.2957921566506,4073.851112929158,190.43047738773876
9,831.2680955502274,4630.701261623429,164.13092244304733
10,787.587019330122,4456.455528861933,176.10903111412267
11,641.6578625416096,3453.3140715855566,203.284990725171
12,816.512315375877,4761.955644048824,163.13237543010877
13,682.8361777980157,3345.2347651986497,210.91450467479584
14,681.814773856897,3328.001901779262,211.42225798332328
15,757.4228912077492,4310.915227463845,185.62599807214355
16,809.645951488733,4443.658911915865,177.62637742732673
17,743.5520575028862,4171.544110950094,189.10555439456212
18,756.1533125607652,3854.357169898111,191.43864814958485
19,809.1000809516421,4671.291354573352,165.28674423277016
20,809.4812549271022,4158.24112329504,182.14531119219
21,813.563734468798,4364.72431678073,178.24060609066248
22,827.096336609529,4797.810308101051,160.07172339734808
23,759.0434401634416,4060.841310897447,187.30821720811508
24,764.7708646177089,4258.592645864025,182.58550926323827
25,789.8342462296148,4286.896668900362,182.17699889863323
26,840.1426064993015,4851.396135505302,156.5211562077792
27,753.7928607402953,4049.2813462859476,190.69620740518022
28,829.122801353721,5001.193315963423,151.9358490394914
29,830.2321279709313,4993.5353727683505,151.83311369222216
30,646.1899061680296,3386.8069235315274,209.22452436848968
31,639.8894335342943,3454.8840293372623,202.8375546214599
32,734.4755961394397,4401.743420960438,179.11713301219282
33,663.3228259145138,3361.0315399610668,212.94018143043462
34,680.3976539069454,3543.0351143590983,194.72323717530693
35,648.1105583955115,3407.910392458763,209.16710690362794
36,644.9083286498233,3444.8102341225795,203.7053990039916
37,644.6625302647335,3521.9745485701746,197.05825162085466
38,753.493974797701,4342.428429295923,184.2179414716519
39,723.6395839398948,3919.4456516490477,194.15129168813465
40,670.9207100055421,3301.7213183273766,214.69463650045097
41,636.4187165740462,3505.990276009283,198.98301223057229
42,630.9808872140198,3529.7014700066893,196.17734213339716
43,632.4575610693009,3507.596410292096,199.06472023600458
44,632.5084962772002,3507.066777814947,199.07193089747153
45,655.7790642110781,3420.8036657255175,206.93575944732748
