Epoch,FrontSize,Time
1,15,1.457033395767212
2,7,1.494483232498169
3,7,1.6113348007202148
4,9,1.5250165462493896
5,9,1.634176254272461
6,13,1.5722622871398926
7,4,1.3988151550292969
8,16,1.5105276107788086
9,14,1.481743335723877
10,15,1.5330424308776855
11,19,2.2051985263824463
12,17,1.7180449962615967
13,20,1.4825389385223389
14,9,1.6001825332641602
15,7,1.8435468673706055
16,16,1.533902645111084
17,13,1.906095266342163
18,9,1.8753201961517334
19,8,1.6150152683258057
20,5,1.6533877849578857
21,11,1.570152997970581
22,8,2.1799888610839844
23,13,2.352705955505371
24,14,1.7820286750793457
25,9,1.5180354118347168
26,10,1.5096304416656494
27,12,1.558042287826538
28,11,1.4782218933105469
29,16,1.4287691116333008
30,9,1.7492046356201172
31,15,1.626617431640625
32,12,1.5603036880493164
33,11,1.5379667282104492
34,4,1.6310889720916748
35,14,1.4476146697998047
36,8,1.5576767921447754
37,13,1.5249295234680176
38,11,1.4917690753936768
39,9,2.154158592224121
40,13,2.3488996028900146
41,7,1.8883538246154785
42,9,1.701085090637207
43,12,1.725574254989624
44,14,1.462026834487915
45,12,1.4837818145751953
46,9,1.4345698356628418
47,21,1.8046140670776367
48,8,1.5776798725128174
49,10,1.560746192932129
50,14,1.4306550025939941
51,8,1.4300994873046875
52,11,1.523118257522583
53,4,1.7434608936309814
54,9,1.4971733093261719
55,17,1.4095919132232666
56,5,1.4335544109344482
57,17,1.4411358833312988
58,10,1.515214443206787
59,16,1.6935458183288574
60,14,1.4752295017242432
61,11,1.443601369857788
62,11,1.5540518760681152
63,7,1.4400780200958252
64,16,1.565335988998413
65,11,1.6533079147338867
66,9,1.5311546325683594
67,10,1.539456844329834
68,10,1.4947617053985596
69,8,1.570633888244629
70,8,1.5394833087921143
71,10,1.5505034923553467
72,15,1.5572514533996582
73,15,1.3932831287384033
74,8,1.5075452327728271
75,12,1.5752520561218262
76,21,1.48643159866333
77,14,1.4838154315948486
78,10,1.5649816989898682
79,8,1.4937169551849365
80,8,1.4616854190826416
81,7,1.4618549346923828
82,18,1.4553754329681396
83,13,1.6596641540527344
84,8,1.6125004291534424
85,17,1.5031278133392334
86,14,1.451578140258789
87,17,1.5165212154388428
88,13,1.4961764812469482
89,11,1.4964869022369385
90,15,1.478092908859253
91,14,1.433807611465454
92,2,1.439530849456787
93,8,1.534367561340332
94,12,1.5442736148834229
95,11,1.5301663875579834
96,10,1.4731049537658691
97,14,1.571415901184082
98,16,1.5508880615234375
99,12,1.5257422924041748
100,12,1.5747663974761963
100,12,158.83869647979736
